workload,input,delivery,frames,payload_bytes,readers,groups_per_sample,ns_per_frame,allocations,requested_bytes,peak_live_bytes,cached_live_bytes,retained_live_bytes,retained_payload_bytes,wakes
fixed-32768,Chunk16k,Fanout,60,1966080,8,4,14421.05,1443,2022028,1987932,1987868,32856,64,1928
fixed-65536,Owned,Backlog,60,3932160,1,2,250.63,40,12300,8908,8908,0,64,0
fixed-65536,Owned,Live,60,3932160,1,2,289.62,41,12492,9100,9100,0,64,61
fixed-65536,Owned,Fanout,60,3932160,8,2,1850.81,123,23788,16556,16492,0,64,488
fixed-65536,StreamOwned,Backlog,60,3932160,1,2,423.88,100,16620,8980,8908,0,64,0
fixed-65536,StreamOwned,Live,60,3932160,1,2,555.63,161,17772,9188,9188,88,64,181
fixed-65536,StreamOwned,Fanout,60,3932160,8,2,2480.84,783,43468,16660,16580,88,64,1448
fixed-65536,Split,Backlog,60,3932160,1,2,9444.94,220,3949740,3946348,3946348,65624,64,0
fixed-65536,Split,Live,60,3932160,1,2,4727.98,341,3951852,3946556,3946556,65624,64,241
fixed-65536,Split,Fanout,60,3932160,8,2,26315.76,1443,3988108,3954012,3953948,65624,64,1928
fixed-65536,Chunk1200,Backlog,60,3932160,1,2,13075.93,220,3949740,3946348,3946348,65624,64,0
fixed-65536,Chunk1200,Live,60,3932160,1,2,9536.02,3521,4002732,3946556,3946556,65624,64,3421
fixed-65536,Chunk1200,Fanout,60,3932160,8,2,50785.88,30063,4598668,3954012,3953948,65624,64,27368
fixed-65536,Chunk16k,Backlog,60,3932160,1,2,11562.76,220,3949740,3946348,3946348,65624,64,0
fixed-65536,Chunk16k,Live,60,3932160,1,2,5448.42,461,3953772,3946556,3946556,65624,64,361
fixed-65536,Chunk16k,Fanout,60,3932160,8,2,27582.81,2523,4011148,3954012,3953948,65624,64,2888
fixed-65537,Owned,Backlog,60,3932220,1,2,250.06,40,12300,8908,8908,0,64,0
fixed-65537,Owned,Live,60,3932220,1,2,283.28,41,12492,9100,9100,0,64,61
fixed-65537,Owned,Fanout,60,3932220,8,2,1506.33,123,23788,16556,16492,0,64,488
fixed-65537,StreamOwned,Backlog,60,3932220,1,2,421.12,100,16620,8980,8908,0,64,0
fixed-65537,StreamOwned,Live,60,3932220,1,2,559.30,161,17772,9188,9188,88,64,181
fixed-65537,StreamOwned,Fanout,60,3932220,8,2,2461.88,783,43468,16660,16580,88,64,1448
fixed-65537,Split,Backlog,60,3932220,1,2,9148.21,220,3949800,3946408,3946408,65625,64,0
fixed-65537,Split,Live,60,3932220,1,2,5877.05,341,3951912,3946616,3946616,65625,64,241
fixed-65537,Split,Fanout,60,3932220,8,2,26315.08,1443,3988168,3954072,3954008,65625,64,1928
fixed-65537,Chunk1200,Backlog,60,3932220,1,2,13186.31,220,3949800,3946408,3946408,65625,64,0
fixed-65537,Chunk1200,Live,60,3932220,1,2,9020.81,3521,4002792,3946616,3946616,65625,64,3421
fixed-65537,Chunk1200,Fanout,60,3932220,8,2,51353.37,30063,4598728,3954072,3954008,65625,64,27368
fixed-65537,Chunk16k,Backlog,60,3932220,1,2,10990.67,220,3949800,3946408,3946408,65625,64,0
fixed-65537,Chunk16k,Live,60,3932220,1,2,5062.02,521,3954792,3946616,3946616,65625,64,421
fixed-65537,Chunk16k,Fanout,60,3932220,8,2,27978.80,3063,4022728,3954072,3954008,65625,64,3368
fixed-262144,Owned,Backlog,32,8388608,1,1,287.41,39,9228,7372,7372,0,64,0
fixed-262144,Owned,Live,32,8388608,1,1,326.88,40,9420,7564,7564,0,64,33
fixed-262144,Owned,Fanout,32,8388608,8,1,1483.41,94,18924,15020,14956,0,64,264
fixed-262144,StreamOwned,Backlog,32,8388608,1,1,472.78,71,11532,7444,7372,0,64,0
fixed-262144,StreamOwned,Live,32,8388608,1,1,613.34,104,12236,7652,7652,88,64,97
fixed-262144,StreamOwned,Fanout,32,8388608,8,1,2217.94,446,29420,15124,15044,88,64,776
fixed-262144,Split,Backlog,32,8388608,1,1,8454.03,135,8400652,8398796,8398796,262232,64,0
fixed-262144,Split,Live,32,8388608,1,1,12170.38,200,8401868,8399004,8399004,262232,64,129
fixed-262144,Split,Fanout,32,8388608,8,1,10578.66,798,8424684,8406460,8406396,262232,64,1032
fixed-262144,Chunk1200,Backlog,32,8388608,1,1,22607.84,135,8400652,8398796,8398796,262232,64,0
fixed-262144,Chunk1200,Live,32,8388608,1,1,31431.97,7144,8512972,8399004,8399004,262232,64,7073
fixed-262144,Chunk1200,Fanout,32,8388608,8,1,110388.94,63294,9757932,8406460,8406396,262232,64,56584
fixed-262144,Chunk16k,Backlog,32,8388608,1,1,9396.75,135,8400652,8398796,8398796,262232,64,0
fixed-262144,Chunk16k,Live,32,8388608,1,1,14640.66,648,8409036,8399004,8399004,262232,64,577
fixed-262144,Chunk16k,Fanout,32,8388608,8,1,18260.91,4830,8510700,8406460,8406396,262232,64,4616
fixed-1048576,Owned,Backlog,8,8388608,1,1,400.75,37,6924,6220,6220,0,64,0
fixed-1048576,Owned,Live,8,8388608,1,1,490.88,38,7116,6412,6412,0,64,9
fixed-1048576,Owned,Fanout,8,8388608,8,1,1956.12,68,15084,13868,13804,0,64,72
fixed-1048576,StreamOwned,Backlog,8,8388608,1,1,587.38,45,7500,6292,6220,0,64,0
fixed-1048576,StreamOwned,Live,8,8388608,1,1,723.88,54,7820,6500,6500,88,64,25
fixed-1048576,StreamOwned,Fanout,8,8388608,8,1,2647.50,156,17708,13972,13892,88,64,200
fixed-1048576,Split,Backlog,8,8388608,1,1,202486.00,61,8396236,8395532,8395532,1048664,64,0
fixed-1048576,Split,Live,8,8388608,1,1,205646.88,78,8396684,8395740,8395740,1048664,64,33
fixed-1048576,Split,Fanout,8,8388608,8,1,209467.88,244,8407980,8403196,8403132,1048664,64,264
fixed-1048576,Chunk1200,Backlog,8,8388608,1,1,252174.38,61,8396236,8395532,8395532,1048664,64,0
fixed-1048576,Chunk1200,Live,8,8388608,1,1,292650.62,7054,8508300,8395740,8395740,1048664,64,7009
