workload,input,delivery,frames,payload_bytes,readers,groups_per_sample,ns_per_frame,allocations,requested_bytes,peak_live_bytes,cached_live_bytes,retained_live_bytes,retained_payload_bytes,wakes
fixed-65536,Chunk1200,Fanout,60,3932160,8,2,51014.81,30123,4600612,3955956,3955892,65656,64,27368
fixed-65536,Chunk16k,Backlog,60,3932160,1,2,23539.78,280,3951684,3948292,3948292,65656,64,0
fixed-65536,Chunk16k,Live,60,3932160,1,2,23142.12,521,3955716,3948500,3948500,65656,64,361
fixed-65536,Chunk16k,Fanout,60,3932160,8,2,25245.66,2583,4013092,3955956,3955892,65656,64,2888
fixed-65537,Owned,Backlog,60,3932220,1,2,266.67,40,12324,8932,8932,0,64,0
fixed-65537,Owned,Live,60,3932220,1,2,298.82,41,12516,9124,9124,0,64,61
fixed-65537,Owned,Fanout,60,3932220,8,2,1577.55,123,23812,16580,16516,0,64,488
fixed-65537,StreamOwned,Backlog,60,3932220,1,2,400.43,100,16644,9004,8932,0,64,0
fixed-65537,StreamOwned,Live,60,3932220,1,2,572.58,161,17796,9212,9212,88,64,181
fixed-65537,StreamOwned,Fanout,60,3932220,8,2,2507.63,783,43492,16684,16604,88,64,1448
fixed-65537,Split,Backlog,60,3932220,1,2,8985.40,220,3949824,3946432,3946432,65625,64,0
fixed-65537,Split,Live,60,3932220,1,2,4787.84,341,3951936,3946640,3946640,65625,64,241
fixed-65537,Split,Fanout,60,3932220,8,2,26382.38,1443,3988192,3954096,3954032,65625,64,1928
fixed-65537,Chunk1200,Backlog,60,3932220,1,2,11587.13,220,3949824,3946432,3946432,65625,64,0
fixed-65537,Chunk1200,Live,60,3932220,1,2,11833.51,3521,4002816,3946640,3946640,65625,64,3421
fixed-65537,Chunk1200,Fanout,60,3932220,8,2,48165.78,30063,4598752,3954096,3954032,65625,64,27368
fixed-65537,Chunk16k,Backlog,60,3932220,1,2,9110.81,220,3949824,3946432,3946432,65625,64,0
fixed-65537,Chunk16k,Live,60,3932220,1,2,5250.62,521,3954816,3946640,3946640,65625,64,421
